News ID	topic_name
N30953	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N10886	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N52386	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N22218	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N57388	yankees, astros, series, world series, baseball, game, world, nationals, manager, league
N30389	wedding, jennifer, married, jenner, couple, wife, kylie, birthday, actress, engaged
N16104	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N25540	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N51343	
N60774	
N37129	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N64723	
N3080	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N40494	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N15839	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N19163	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N13343	
N60852	
N61864	day sports, november, october, sports, day, november day, october day, news, news briefing, morning news
N36064	closing, restaurant, kmart, close, stores, closed, sears, closes, store, doors
N35788	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N61167	
N27190	
N9035	patriots, new england, england, england patriots, brady, tom, tom brady, gordon, new, josh
N19651	
N22957	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N63006	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N5159	
N47685	cancer, flu, health, breast, breast cancer, patients, lung, disease, medical, vaping
N44720	
N55024	
N44162	
N52683	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N8185	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N1358	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N39817	
N54799	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N34169	
N33303	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N51340	
N46021	
N13855	
N16556	crash, lanes, traffic, truck, highway, tractortrailer, southbound, interstate, northbound, near
N22679	
N24423	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N20084	
N18393	
N7141	ravens, bengals, yards, jackson, quarterback, lamar, lamar jackson, touchdowns, touchdown, cincinnati bengals
N11663	wedding, jennifer, married, jenner, couple, wife, kylie, birthday, actress, engaged
N55435	basketball, lakers, points, rockets, season, james, win, bulls, rebounds, davis
N39173	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N33874	
N44661	snow, cold, weather, temperatures, winter, arctic, record, degrees, tuesday, forecast
N41976	fire, california, firefighters, wildfires, winds, power, kincade, homes, kincade fire, fires
N36820	
N54727	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N11683	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N19401	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N31442	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N47214	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N31402	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N61358	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N48632	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N57699	
N27214	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N25174	snow, cold, weather, temperatures, winter, arctic, record, degrees, tuesday, forecast
N51426	
N41013	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N19888	
N45191	
N60535	patriots, new england, england, england patriots, brady, tom, tom brady, gordon, new, josh
N47600	missing, yearold, missing yearold, girl, police, last seen, seen, search, woman, yearold girl
N35318	
N11360	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N13566	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N24417	
N59891	crash, driver, car, police, killed, highway, vehicle, struck, road, near
N30236	
N64593	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N45970	syria, turkey, turkish, syrian, erdogan, kurdish, kurds, forces, us, president
N54542	car, police, stolen, man, vehicle, officers, suspect, carjacking, say, police said
N30290	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N51844	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N7992	new, million, home, city, project, plan, homes, transportation, housing, building
N49374	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N14176	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N60584	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N10	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N46830	
N41147	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N61914	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N21253	
N24905	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N65207	cancer, flu, health, breast, breast cancer, patients, lung, disease, medical, vaping
N16430	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N35616	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N23386	hockey, canada, leafs, cherry, maple leafs, blackhawks, goals, toronto, maple, nhl
N43484	
N59794	
N15483	
N62736	
N35080	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N19146	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N17041	
N48072	crash, driver, car, police, killed, highway, vehicle, struck, road, near
N18287	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N41146	
N31161	yankees, astros, series, world series, baseball, game, world, nationals, manager, league
N37461	
N39490	
N8691	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N26444	
N30868	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N56406	crash, driver, car, police, killed, highway, vehicle, struck, road, near
N56618	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N5373	halloween, candy, costume, costumes, haunted, halloween candy, halloween costumes, spooky, halloween costume, ghost
N36464	crash, lanes, traffic, truck, highway, tractortrailer, southbound, interstate, northbound, near
N38308	
N12440	trailer, trailer trailer, official trailer, official, day neighborhood, beautiful day, trailer beautiful, trailer knives, knives, beautiful
N2540	
N42716	
N39638	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N24900	ufc, fight, mma, moscow, heavyweight, title, vs, fight night, ufc moscow, bellator
N9947	
N25567	
N25205	
N61681	
N59709	
N57930	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N9013	plane, flight, airlines, airport, boeing, pilot, max, air, landing, small plane
N15651	
N63682	
N51784	extension, split, celtics, martin, contract, jaylen, conferences arrowhead, pete, hield, jaylen brown
N41869	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N13882	
N6258	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N27641	
N50246	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N60798	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N37423	
N23937	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N43734	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
N11593	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N27715	
N23874	
N3565	dolphins, miami, miami dolphins, colts, steelers, fitzpatrick, flores, indianapolis, nfl, brian flores
N26766	
N61203	wedding, jennifer, married, jenner, couple, wife, kylie, birthday, actress, engaged
N1244	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N9774	shooting, man, police, shot, murder, charged, arrested, suspect, man shot, officers
N10538	shooting, man, police, shot, murder, charged, arrested, suspect, man shot, officers
N20833	new, million, home, city, project, plan, homes, transportation, housing, building
N5815	
N46851	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N59874	
N19513	
N3649	
N6632	
N28561	tropical, storm, tropical storm, rain, gulf, coast, winds, nestor, cyclone, heavy
N25024	
N41208	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N61178	
N4015	
N4586	day sports, november, october, sports, day, november day, october day, news, news briefing, morning news
N32515	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N4147	
N58146	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N34122	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N3528	
N39809	
N1810	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N14042	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N12081	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N58073	fire, california, firefighters, wildfires, winds, power, kincade, homes, kincade fire, fires
N27287	
N48549	
N52529	
N16077	
N27063	halloween, candy, costume, costumes, haunted, halloween candy, halloween costumes, spooky, halloween costume, ghost
N13305	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N7348	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N49134	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
N34722	disney, streaming, streaming service, launch, service, disneys, disney plus, movies, service disney, disney launch
N5599	vikings, minnesota vikings, minnesota, cousins, cowboys, kirk cousins, kirk, eagles, chiefs, sunday
N49830	
N36911	patriots, new england, england, england patriots, brady, tom, tom brady, gordon, new, josh
N27394	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N65217	film, movie, films, joker, irishman, movies, box office, hollywood, martin, opening
N49369	
N64413	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N37414	
N27137	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N34406	veterans, veterans day, day, veteran, military, honor, served, parade, war, service
N9	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N15254	
N33161	tornado, dallas, damage, texas, storms, tornadoes, dallas tornado, north dallas, ef, storm
N55248	
N7771	resigns, chief, resigned, superintendent, police, johnson, retirement, beck, interim, retiring
N30781	
N31552	
N30344	
N19490	
N48774	
N39751	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N17108	fire, california, firefighters, wildfires, winds, power, kincade, homes, kincade fire, fires
N28035	
N49198	
N28442	veterans, veterans day, day, veteran, military, honor, served, parade, war, service
N62084	ukraine, trump, impeachment, president, trumps, house, inquiry, impeachment inquiry, donald, testimony
N5754	
N60941	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N19262	
N20723	wedding, jennifer, married, jenner, couple, wife, kylie, birthday, actress, engaged
N35774	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N43916	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N20513	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N8798	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N10376	
N24868	
N7951	
N60467	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N58332	
N18885	
N21041	trailer, trailer trailer, official trailer, official, day neighborhood, beautiful day, trailer beautiful, trailer knives, knives, beautiful
N16032	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N21936	
N27822	extension, split, celtics, martin, contract, jaylen, conferences arrowhead, pete, hield, jaylen brown
N44133	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N61079	
N55625	
N46832	
N44959	dies, died, bernard, kaiser, tyson, age, bernard tyson, former, permanente, kaiser permanente
N17286	
N56461	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N7362	
N51425	
N20743	
N21383	
N30012	
N38397	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N33942	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N56840	
N10122	
N50158	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N1586	halloween, candy, costume, costumes, haunted, halloween candy, halloween costumes, spooky, halloween costume, ghost
N32006	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N9900	
N46688	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N6536	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N24153	
N3570	
N7182	
N50742	
N25631	
N19028	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N51601	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N38633	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
N11161	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N47866	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N45493	
N32907	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N17602	
N65225	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
N49505	
N57991	
N45908	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N54975	yankees, astros, series, world series, baseball, game, world, nationals, manager, league
N42669	trailer, trailer trailer, official trailer, official, day neighborhood, beautiful day, trailer beautiful, trailer knives, knives, beautiful
N58551	texas, texans, oklahoma, kansas, longhorns, houston, state, baylor, oklahoma state, kansas state
N54064	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N46428	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N4021	
N59255	trailer, trailer trailer, official trailer, official, day neighborhood, beautiful day, trailer beautiful, trailer knives, knives, beautiful
N17430	syria, turkey, turkish, syrian, erdogan, kurdish, kurds, forces, us, president
N25604	
N63270	tropical, storm, tropical storm, rain, gulf, coast, winds, nestor, cyclone, heavy
N59271	
N59418	
N34242	deer, hunters, cows, hunting, cow, michigan, hunting season, hunts, moose, gus
N63651	
N37957	
N33458	ukraine, trump, impeachment, president, trumps, house, inquiry, impeachment inquiry, donald, testimony
N18854	marijuana, medical marijuana, cannabis, medical, recreational, legal, pot, weed, vaping, use
N22033	shark, fish, whale, alligator, florida, baby shark, snake, python, sharks, beach
N61084	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N228	plane, flight, airlines, airport, boeing, pilot, max, air, landing, small plane
N12987	
N20818	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N31633	syria, isis, albaghdadi, raid, leader, bakr, abu bakr, abu, bakr albaghdadi, troops
N4489	cubs, david ross, ross, manager, chicago cubs, epstein, david, theo epstein, theo, chicago
N12676	
N42607	closing, restaurant, kmart, close, stores, closed, sears, closes, store, doors
N18012	
N33521	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N50208	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N42908	texas, texans, oklahoma, kansas, longhorns, houston, state, baylor, oklahoma state, kansas state
N47966	
N55337	
N5485	
N39336	
N33371	
N16764	
N732	
N31527	
N14607	
N48806	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N43467	
N50299	
N10220	
N1734	
N20106	cummings, elijah, elijah cummings, rep elijah, rep, church, funeral, baltimore, rockeymoore, maya
N57075	
N21311	
N37736	
N62787	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N49363	
N20620	
N47287	
N39535	day sports, november, october, sports, day, november day, october day, news, news briefing, morning news
N21243	fire, california, firefighters, wildfires, winds, power, kincade, homes, kincade fire, fires
N38578	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N47123	new, million, home, city, project, plan, homes, transportation, housing, building
N12638	
N54623	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N42227	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N43966	
N49375	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N58574	
N6950	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N7716	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N32749	
N44066	
N6191	
N56558	
N42524	new, million, home, city, project, plan, homes, transportation, housing, building
N43138	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N41257	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N7403	shooting, man, police, shot, murder, charged, arrested, suspect, man shot, officers
N61727	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N19103	
N39843	woods, tiger, tiger woods, zozo, presidents cup, zozo championship, pga, pga tour, presidents, cup
N48320	
N40684	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N22256	
N25041	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N8182	
N60933	
N2955	plane, flight, airlines, airport, boeing, pilot, max, air, landing, small plane
N3870	
N29893	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N63734	
N52528	mexico, mexican, mormon, massacre, cartel, ambush, family, drug, northern mexico, children
N59449	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N12188	bus, school bus, school, bus driver, driver, crash, students, sinkhole, injured, student
N18753	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N45174	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N34240	patriots, new england, england, england patriots, brady, tom, tom brady, gordon, new, josh
N4303	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N34233	
N543	shooting, man, police, shot, murder, charged, arrested, suspect, man shot, officers
N29745	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N42994	
N57131	
N28535	
N44238	
N62150	
N12612	
N59291	
N32227	
N34645	
N51027	
N24866	
N19552	yankees, astros, series, world series, baseball, game, world, nationals, manager, league
N18760	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N18819	
N13225	new, million, home, city, project, plan, homes, transportation, housing, building
N24427	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
N60739	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N24132	nasa, space, meteor, mercury, moon, spacex, sun, earth, mars, nasas
N52800	
N49981	ravens, bengals, yards, jackson, quarterback, lamar, lamar jackson, touchdowns, touchdown, cincinnati bengals
N7748	
N46662	basketball, lakers, points, rockets, season, james, win, bulls, rebounds, davis
N39718	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N58637	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N7368	ravens, bengals, yards, jackson, quarterback, lamar, lamar jackson, touchdowns, touchdown, cincinnati bengals
N54624	fire, california, firefighters, wildfires, winds, power, kincade, homes, kincade fire, fires
N62418	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N29621	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N61483	
N4295	
N20148	
N64278	
N43092	wedding, jennifer, married, jenner, couple, wife, kylie, birthday, actress, engaged
N7180	man, wife, murder, police, charged, shooting, death, woman, yearold, killing
N58210	ravens, bengals, yards, jackson, quarterback, lamar, lamar jackson, touchdowns, touchdown, cincinnati bengals
N20588	
N59137	
N41212	shark, fish, whale, alligator, florida, baby shark, snake, python, sharks, beach
N40642	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N58730	texas, texans, oklahoma, kansas, longhorns, houston, state, baylor, oklahoma state, kansas state
N64130	
N21526	
N54783	
N36390	texas, texans, oklahoma, kansas, longhorns, houston, state, baylor, oklahoma state, kansas state
N44573	plane, flight, airlines, airport, boeing, pilot, max, air, landing, small plane
N13693	
N10398	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N25127	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N13712	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N52293	
N43677	
N43465	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N30194	new, million, home, city, project, plan, homes, transportation, housing, building
N27667	
N3270	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N53353	
N36457	trailer, trailer trailer, official trailer, official, day neighborhood, beautiful day, trailer beautiful, trailer knives, knives, beautiful
N8610	
N35585	
N30965	
N59437	
N1606	
N4570	
N37987	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N54012	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N44438	
N40813	
N47357	
N9138	yankees, astros, series, world series, baseball, game, world, nationals, manager, league
N4978	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N2770	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
N3906	
N29824	
N14720	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N21453	
N2336	patriots, new england, england, england patriots, brady, tom, tom brady, gordon, new, josh
N34300	new, million, home, city, project, plan, homes, transportation, housing, building
N32180	
N51363	patriots, new england, england, england patriots, brady, tom, tom brady, gordon, new, josh
N1145	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N34544	trailer, trailer trailer, official trailer, official, day neighborhood, beautiful day, trailer beautiful, trailer knives, knives, beautiful
N52876	trump, impeachment, president, house, inquiry, impeachment inquiry, democrats, democratic, donald, president trump
N44940	
N57751	yankees, astros, series, world series, baseball, game, world, nationals, manager, league
N26634	
N19818	prince, royal, harry, meghan, prince harry, kate, markle, meghan markle, queen, duchess
N32202	new, million, home, city, project, plan, homes, transportation, housing, building
N5551	cowboys, dallas, dallas cowboys, eagles, jets, giants, nfc, nfl, nfc east, jason garrett
N35993	
N36357	china, trade, us, tariffs, chinese, trade deal, deal, hong, kong, hong kong
N24959	
N29740	wedding, jennifer, married, jenner, couple, wife, kylie, birthday, actress, engaged
N62357	texas, texans, oklahoma, kansas, longhorns, houston, state, baylor, oklahoma state, kansas state
N45102	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N38064	
N49210	patriots, new england, england, england patriots, brady, tom, tom brady, gordon, new, josh
N49345	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N31851	dog, dogs, adoption, animal, pet, puppy, adopt, rescue, pet adoption, adoption centers
N47341	basketball, lakers, points, rockets, season, james, win, bulls, rebounds, davis
N36630	
N55663	nasa, space, meteor, mercury, moon, spacex, sun, earth, mars, nasas
N53095	new, million, home, city, project, plan, homes, transportation, housing, building
N30886	
N47699	mexico, mexican, mormon, massacre, cartel, ambush, family, drug, northern mexico, children
N31637	zoo, elephant, elephants, panda, bei, zoos, lion, bronx zoo, baby, cub
N30816	car, ford, cars, corvette, mustang, electric, gt, suv, ferrari, chevy
N44067	
N18908	
N64215	football, college football, college, school football, week, high school, playoff, high, school, playoffs
N56359	china, trade, us, tariffs, chinese, trade deal, deal, hong, kong, hong kong
N39032	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
N38336	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N21744	money, retirement, stocks, oil, tax, us, economy, financial, market, debt
N6288	
N18929	jaguars, jacksonville jaguars, jacksonville, minshew, foles, nick foles, jaguars vs, jags, marrone, ramsey
N46858	plane, flight, airlines, airport, boeing, pilot, max, air, landing, small plane
N53570	
N49907	
N33853	texas, texans, oklahoma, kansas, longhorns, houston, state, baylor, oklahoma state, kansas state
N46454	
N30766	food, thanksgiving, recipes, restaurant, best, restaurants, taste, new, chicken, make
N30891	
N48304	
N46397	
N4681	
N41648	texas, texans, oklahoma, kansas, longhorns, houston, state, baylor, oklahoma state, kansas state
N23198	film, movie, films, joker, irishman, movies, box office, hollywood, martin, opening
N1398	
N62982	
N28406	weight, pounds, diet, lose, weight loss, lose weight, lost pounds, foods, exercise, fat
N29569	nascar, race, speedway, championship, cup, cup series, hamlin, series, martinsville, nascar cup
N24416	microsoft, apple, google, app, iphone, pro, xbox, facebook, users, new
